                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     52,                 2.0263,                 1.0293,                 1.1362,                0.81291,                      1,                0.97682,                0.52055,                 1.8225,                 2.1756,                 1.0994,              0.0009902,              0.0009902,              0.0009902
                     53,                 1.7882,                0.89981,                 1.0861,                0.81291,                      1,                0.97682,                0.52055,                 1.8225,                 2.1756,                 1.0994,              0.0009704,              0.0009704,              0.0009704
                     54,                 1.8697,                 0.8971,                 1.0436,                0.89682,                      1,                  0.995,                0.54457,                 1.6225,                 1.7966,                 1.0574,              0.0009506,              0.0009506,              0.0009506
                     55,                  2.091,                 1.0579,                  1.079,                0.83143,                      1,                0.96773,                0.50951,                 1.6616,                 1.6134,                 1.0495,              0.0009308,              0.0009308,              0.0009308
                     56,                 2.0299,                0.98216,                 1.1196,                0.81404,                      1,                0.96773,                0.46576,                 1.6812,                 1.2593,                 1.0484,               0.000911,               0.000911,               0.000911
                     57,                 1.7228,                0.97591,                 1.0752,                0.81404,                      1,                0.96773,                0.46576,                 1.6812,                 1.2593,                 1.0484,              0.0008912,              0.0008912,              0.0008912
                     58,                 1.8657,                 0.8645,                  1.108,                0.87588,                      1,                0.98591,                0.42869,                 1.7839,                  1.089,                 1.0794,              0.0008714,              0.0008714,              0.0008714
                     59,                 1.7967,                0.96713,                 1.0849,                0.89815,                      1,                0.98591,                0.46331,                 1.7086,                0.98221,                 1.0871,              0.0008516,              0.0008516,              0.0008516
                     60,                 1.9192,                 0.9037,                 1.1167,                0.82182,                      1,                0.94833,                0.52129,                  1.619,                0.89797,                 1.0658,              0.0008318,              0.0008318,              0.0008318
                     61,                 1.8787,                0.90953,                 1.0842,                0.82182,                      1,                0.94833,                0.52129,                  1.619,                0.89797,                 1.0658,               0.000812,               0.000812,               0.000812
                     62,                 2.0623,                 1.0221,                 1.0679,                0.81186,                      1,                0.95833,                0.57845,                 1.7475,                0.87358,                 1.0767,              0.0007922,              0.0007922,              0.0007922
                     63,                 1.8719,                 0.9098,                 1.1027,                0.90359,                      1,                  0.995,                0.61316,                 1.8004,                0.81944,                 1.0949,              0.0007724,              0.0007724,              0.0007724
